S/N,pclass,survived,age,fare,embarked_C,embarked_Q,embarked_S,sex_female,sex_male
0,1,1,29,211,0,0,1,1,0
1,1,1,1,152,0,0,1,0,1
2,1,0,2,152,0,0,1,1,0
3,1,0,30,152,0,0,1,0,1
4,1,0,25,152,0,0,1,1,0
5,1,1,48,27,0,0,1,0,1
6,1,1,63,78,0,0,1,1,0
7,1,0,39,0,0,0,1,0,1
8,1,1,53,51,0,0,1,1,0
9,1,0,71,50,1,0,0,0,1
10,1,0,47,228,1,0,0,0,1
11,1,1,18,228,1,0,0,1,0
12,1,1,24,69,1,0,0,1,0
13,1,1,26,79,0,0,1,1,0
14,1,1,80,30,0,0,1,0,1
15,1,0,39,26,0,0,1,0,1
16,1,0,24,248,1,0,0,0,1
17,1,1,50,248,1,0,0,1,0
18,1,1,32,76,1,0,0,1,0
19,1,0,36,75,1,0,0,0,1
20,1,1,37,53,0,0,1,0,1
21,1,1,47,53,0,0,1,1,0
22,1,1,26,30,1,0,0,0,1
23,1,1,42,228,1,0,0,1,0
24,1,1,29,222,0,0,1,1,0
25,1,0,25,26,1,0,0,0,1
26,1,1,25,91,1,0,0,0,1
27,1,1,19,91,1,0,0,1,0
28,1,1,35,136,0,0,1,1,0
29,1,1,28,27,0,0,1,0,1
30,1,0,45,36,0,0,1,0,1
31,1,1,40,31,1,0,0,0,1
32,1,1,30,165,0,0,1,1,0
33,1,1,58,27,0,0,1,1,0
34,1,0,42,27,0,0,1,0,1
35,1,1,45,262,1,0,0,1,0
36,1,1,22,55,0,0,1,1,0
37,1,1,39,27,0,0,1,0,1
38,1,0,41,30,0,0,1,0,1
39,1,0,48,50,1,0,0,0,1
40,1,0,39,40,1,0,0,0,1
41,1,1,44,28,1,0,0,1,0
42,1,1,59,51,0,0,1,1,0
43,1,1,60,76,1,0,0,1,0
44,1,1,41,134,1,0,0,1,0
45,1,0,45,27,0,0,1,0,1
46,1,0,39,31,0,0,1,0,1
47,1,1,42,26,0,0,1,0,1
48,1,1,53,27,1,0,0,1,0
49,1,1,36,512,1,0,0,0,1
